Iso3,Location Name,AMRO subregions,Causename Eng,Year,Sex,Age group,Measure Name En,Metric Name En,Value,Value Low,Value Up
ARG,Argentina,Southern Cone,Amphetamine use disorders,2020,Male,0-4 years,Deaths,Rate,0.0,0.0,0.0
ARG,Argentina,Southern Cone,Amphetamine use disorders,2020,Male,0-4 years,Disability-Adjusted Life Years (DALYs),Rate,0.0,0.0,0.0
ARG,Argentina,Southern Cone,Amphetamine use disorders,2020,Male,0-4 years,Years Lived with Disability (YLDs),Rate,0.0,0.0,0.0
ARG,Argentina,Southern Cone,Amphetamine use disorders,2020,Male,0-4 years,Years of Life Lost (YLLs),Rate,0.0,0.0,0.0
ARG,Argentina,Southern Cone,Amphetamine use disorders,2020,Male,0-14 years,Deaths,Rate,0.0,0.0,0.0
ARG,Argentina,Southern Cone,Amphetamine use disorders,2020,Male,0-14 years,Disability-Adjusted Life Years (DALYs),Rate,0.0,0.0,0.0
ARG,Argentina,Southern Cone,Amphetamine use disorders,2020,Male,0-14 years,Years Lived with Disability (YLDs),Rate,0.0,0.0,0.0
ARG,Argentina,Southern Cone,Amphetamine use disorders,2020,Male,0-14 years,Years of Life Lost (YLLs),Rate,0.0,0.0,0.0
ARG,Argentina,Southern Cone,Amphetamine use disorders,2020,Male,0-19 years,Deaths,Rate,0.0,0.0,0.0
ARG,Argentina,Southern Cone,Amphetamine use disorders,2020,Male,0-19 years,Disability-Adjusted Life Years (DALYs),Rate,2.13,0.22,4.96
ARG,Argentina,Southern Cone,Amphetamine use disorders,2020,Male,0-19 years,Years Lived with Disability (YLDs),Rate,2.13,0.22,4.96
ARG,Argentina,Southern Cone,Amphetamine use disorders,2020,Male,0-19 years,Years of Life Lost (YLLs),Rate,0.0,0.0,0.0
ARG,Argentina,Southern Cone,Amphetamine use disorders,2020,Male,0-24 years,Deaths,Rate,0.0,0.0,0.0
ARG,Argentina,Southern Cone,Amphetamine use disorders,2020,Male,0-24 years,Disability-Adjusted Life Years (DALYs),Rate,9.64,3.16,19.31
ARG,Argentina,Southern Cone,Amphetamine use disorders,2020,Male,0-24 years,Years Lived with Disability (YLDs),Rate,9.52,3.1,19.12
ARG,Argentina,Southern Cone,Amphetamine use disorders,2020,Male,0-24 years,Years of Life Lost (YLLs),Rate,0.12,0.06,0.19
ARG,Argentina,Southern Cone,Amphetamine use disorders,2020,Male,0-27 days,Deaths,Rate,0.0,0.0,0.0
ARG,Argentina,Southern Cone,Amphetamine use disorders,2020,Male,0-27 days,Disability-Adjusted Life Years (DALYs),Rate,0.0,0.0,0.0
ARG,Argentina,Southern Cone,Amphetamine use disorders,2020,Male,0-27 days,Years Lived with Disability (YLDs),Rate,0.0,0.0,0.0
