Iso3,Location Name,AMRO subregions,Year,Sex,Age group,Measure Name En,Metric Name En,Value,Value Low,Value Up
ARG,Argentina,Southern Cone,2020,Male,0-4 years,Disability-Adjusted Life Years (DALYs),Rate,353.15,215.78,527.60
ARG,Argentina,Southern Cone,2020,Male,0-4 years,Years Lived with Disability (YLDs),Rate,353.15,215.78,527.60
ARG,Argentina,Southern Cone,2020,Male,0-14 years,Disability-Adjusted Life Years (DALYs),Rate,"1,048.49",578.09,"1,682.93"
ARG,Argentina,Southern Cone,2020,Male,0-14 years,Years Lived with Disability (YLDs),Rate,"1,048.49",578.09,"1,682.93"
ARG,Argentina,Southern Cone,2020,Male,0-19 years,Disability-Adjusted Life Years (DALYs),Rate,"1,389.57",768.65,"2,220.76"
ARG,Argentina,Southern Cone,2020,Male,0-19 years,Years Lived with Disability (YLDs),Rate,"1,387.76",766.84,"2,218.95"
ARG,Argentina,Southern Cone,2020,Male,0-24 years,Disability-Adjusted Life Years (DALYs),Rate,"1,612.27",901.67,"2,571.20"
ARG,Argentina,Southern Cone,2020,Male,0-24 years,Years Lived with Disability (YLDs),Rate,"1,610.06",899.46,"2,568.99"
ARG,Argentina,Southern Cone,2020,Male,0-27 days,Disability-Adjusted Life Years (DALYs),Rate,320.22,203.19,471.07
ARG,Argentina,Southern Cone,2020,Male,0-27 days,Years Lived with Disability (YLDs),Rate,320.22,203.19,471.07
ARG,Argentina,Southern Cone,2020,Male,1-4 years,Disability-Adjusted Life Years (DALYs),Rate,358.80,217.57,537.38
ARG,Argentina,Southern Cone,2020,Male,1-4 years,Years Lived with Disability (YLDs),Rate,358.80,217.57,537.38
ARG,Argentina,Southern Cone,2020,Male,1-9 years,Disability-Adjusted Life Years (DALYs),Rate,662.08,369.30,"1,046.93"
ARG,Argentina,Southern Cone,2020,Male,1-9 years,Years Lived with Disability (YLDs),Rate,662.08,369.30,"1,046.93"
ARG,Argentina,Southern Cone,2020,Male,1-11 months,Disability-Adjusted Life Years (DALYs),Rate,326.06,207.41,480.65
ARG,Argentina,Southern Cone,2020,Male,1-11 months,Years Lived with Disability (YLDs),Rate,326.06,207.41,480.65
ARG,Argentina,Southern Cone,2020,Male,5-9 years,Disability-Adjusted Life Years (DALYs),Rate,889.10,482.89,"1,428.36"
ARG,Argentina,Southern Cone,2020,Male,5-9 years,Years Lived with Disability (YLDs),Rate,889.10,482.89,"1,428.36"
ARG,Argentina,Southern Cone,2020,Male,10-14 years,Disability-Adjusted Life Years (DALYs),Rate,"1,863.89","1,015.56","3,027.12"
ARG,Argentina,Southern Cone,2020,Male,10-14 years,Years Lived with Disability (YLDs),Rate,"1,863.89","1,015.56","3,027.12"
ARG,Argentina,Southern Cone,2020,Male,10-24 years,Disability-Adjusted Life Years (DALYs),Rate,"2,271.33","1,269.49","3,629.91"
ARG,Argentina,Southern Cone,2020,Male,10-24 years,Years Lived with Disability (YLDs),Rate,"2,267.63","1,265.79","3,626.21"
ARG,Argentina,Southern Cone,2020,Male,15-19 years,Disability-Adjusted Life Years (DALYs),Rate,"2,444.57","1,358.06","3,884.28"
ARG,Argentina,Southern Cone,2020,Male,15-19 years,Years Lived with Disability (YLDs),Rate,"2,437.16","1,350.65","3,876.87"
ARG,Argentina,Southern Cone,2020,Male,15-24 years,Disability-Adjusted Life Years (DALYs),Rate,"2,483.10","1,401.48","3,943.22"
ARG,Argentina,Southern Cone,2020,Male,15-24 years,Years Lived with Disability (YLDs),Rate,"2,477.47","1,395.85","3,937.59"
ARG,Argentina,Southern Cone,2020,Male,20-24 years,Disability-Adjusted Life Years (DALYs),Rate,"2,521.54","1,444.80","4,002.02"
ARG,Argentina,Southern Cone,2020,Male,20-24 years,Years Lived with Disability (YLDs),Rate,"2,517.69","1,440.94","3,998.17"
ARG,Argentina,Southern Cone,2020,Male,25-29 years,Disability-Adjusted Life Years (DALYs),Rate,"2,522.00","1,455.75","3,863.41"
ARG,Argentina,Southern Cone,2020,Male,25-29 years,Years Lived with Disability (YLDs),Rate,"2,518.19","1,451.94","3,859.60"
ARG,Argentina,Southern Cone,2020,Male,25-49 years,Disability-Adjusted Life Years (DALYs),Rate,"2,440.68","1,451.99","3,713.63"
ARG,Argentina,Southern Cone,2020,Male,25-49 years,Years Lived with Disability (YLDs),Rate,"2,431.58","1,442.89","3,704.52"
ARG,Argentina,Southern Cone,2020,Male,30-34 years,Disability-Adjusted Life Years (DALYs),Rate,"2,497.58","1,490.89","3,806.68"
ARG,Argentina,Southern Cone,2020,Male,30-34 years,Years Lived with Disability (YLDs),Rate,"2,486.06","1,479.37","3,795.16"
ARG,Argentina,Southern Cone,2020,Male,35-39 years,Disability-Adjusted Life Years (DALYs),Rate,"2,456.07","1,480.35","3,705.46"
ARG,Argentina,Southern Cone,2020,Male,35-39 years,Years Lived with Disability (YLDs),Rate,"2,456.07","1,480.35","3,705.46"
ARG,Argentina,Southern Cone,2020,Male,40-44 years,Disability-Adjusted Life Years (DALYs),Rate,"2,402.08","1,441.62","3,663.60"
ARG,Argentina,Southern Cone,2020,Male,40-44 years,Years Lived with Disability (YLDs),Rate,"2,384.60","1,424.13","3,646.11"
ARG,Argentina,Southern Cone,2020,Male,45-49 years,Disability-Adjusted Life Years (DALYs),Rate,"2,285.85","1,375.38","3,463.01"
ARG,Argentina,Southern Cone,2020,Male,45-49 years,Years Lived with Disability (YLDs),Rate,"2,271.45","1,360.98","3,448.61"
ARG,Argentina,Southern Cone,2020,Male,50-54 years,Disability-Adjusted Life Years (DALYs),Rate,"2,107.34","1,292.67","3,145.35"
ARG,Argentina,Southern Cone,2020,Male,50-54 years,Years Lived with Disability (YLDs),Rate,"2,103.52","1,288.85","3,141.53"
