Iso3,Location Name,AMRO subregions,Causename Eng,Year,Sex,Age group,Measure Name En,Metric Name En,Value,Value Low,Value Up
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,0-4 years,Deaths,Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,0-4 years,Disability-Adjusted Life Years (DALYs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,0-4 years,Years Lived with Disability (YLDs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,0-4 years,Years of Life Lost (YLLs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,0-14 years,Deaths,Rate,0.04,0.00,0.11
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,0-14 years,Disability-Adjusted Life Years (DALYs),Rate,3.24,0.00,9.11
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,0-14 years,Years Lived with Disability (YLDs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,0-14 years,Years of Life Lost (YLLs),Rate,3.24,0.00,9.11
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,0-19 years,Deaths,Rate,0.03,0.00,0.08
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,0-19 years,Disability-Adjusted Life Years (DALYs),Rate,2.45,0.00,6.88
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,0-19 years,Years Lived with Disability (YLDs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,0-19 years,Years of Life Lost (YLLs),Rate,2.45,0.00,6.88
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,0-24 years,Deaths,Rate,0.02,0.00,0.07
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,0-24 years,Disability-Adjusted Life Years (DALYs),Rate,1.97,0.00,5.53
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,0-24 years,Years Lived with Disability (YLDs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,0-24 years,Years of Life Lost (YLLs),Rate,1.97,0.00,5.53
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,0-27 days,Deaths,Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,0-27 days,Disability-Adjusted Life Years (DALYs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,0-27 days,Years Lived with Disability (YLDs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,0-27 days,Years of Life Lost (YLLs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,1-4 years,Deaths,Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,1-4 years,Disability-Adjusted Life Years (DALYs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,1-4 years,Years Lived with Disability (YLDs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,1-4 years,Years of Life Lost (YLLs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,1-9 years,Deaths,Rate,0.03,0.00,0.09
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,1-9 years,Disability-Adjusted Life Years (DALYs),Rate,2.70,0.00,7.58
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,1-9 years,Years Lived with Disability (YLDs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,1-9 years,Years of Life Lost (YLLs),Rate,2.70,0.00,7.58
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,1-11 months,Deaths,Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,1-11 months,Disability-Adjusted Life Years (DALYs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,1-11 months,Years Lived with Disability (YLDs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,1-11 months,Years of Life Lost (YLLs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,5-9 years,Deaths,Rate,0.06,0.00,0.16
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,5-9 years,Disability-Adjusted Life Years (DALYs),Rate,4.71,0.00,13.26
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,5-9 years,Years Lived with Disability (YLDs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,5-9 years,Years of Life Lost (YLLs),Rate,4.71,0.00,13.26
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,10-14 years,Deaths,Rate,0.06,0.00,0.17
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,10-14 years,Disability-Adjusted Life Years (DALYs),Rate,4.74,0.00,13.33
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,10-14 years,Years Lived with Disability (YLDs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,10-14 years,Years of Life Lost (YLLs),Rate,4.74,0.00,13.33
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,10-24 years,Deaths,Rate,0.02,0.00,0.06
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,10-24 years,Disability-Adjusted Life Years (DALYs),Rate,1.62,0.00,4.56
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,10-24 years,Years Lived with Disability (YLDs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,10-24 years,Years of Life Lost (YLLs),Rate,1.62,0.00,4.56
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,15-19 years,Deaths,Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,15-19 years,Disability-Adjusted Life Years (DALYs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,15-19 years,Years Lived with Disability (YLDs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,15-19 years,Years of Life Lost (YLLs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,15-24 years,Deaths,Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,15-24 years,Disability-Adjusted Life Years (DALYs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,15-24 years,Years Lived with Disability (YLDs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,15-24 years,Years of Life Lost (YLLs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,20-24 years,Deaths,Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,20-24 years,Disability-Adjusted Life Years (DALYs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,20-24 years,Years Lived with Disability (YLDs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,20-24 years,Years of Life Lost (YLLs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,25-29 years,Deaths,Rate,0.12,0.00,0.33
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,25-29 years,Disability-Adjusted Life Years (DALYs),Rate,7.66,0.00,21.55
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,25-29 years,Years Lived with Disability (YLDs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,25-29 years,Years of Life Lost (YLLs),Rate,7.66,0.00,21.55
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,25-49 years,Deaths,Rate,0.11,0.00,0.33
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,25-49 years,Disability-Adjusted Life Years (DALYs),Rate,9.51,1.34,25.90
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,25-49 years,Years Lived with Disability (YLDs),Rate,3.45,1.14,7.21
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,25-49 years,Years of Life Lost (YLLs),Rate,6.06,0.21,18.70
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,30-34 years,Deaths,Rate,0.13,0.00,0.36
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,30-34 years,Disability-Adjusted Life Years (DALYs),Rate,7.72,0.00,21.72
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,30-34 years,Years Lived with Disability (YLDs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,30-34 years,Years of Life Lost (YLLs),Rate,7.72,0.00,21.72
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,35-39 years,Deaths,Rate,0.07,0.00,0.18
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,35-39 years,Disability-Adjusted Life Years (DALYs),Rate,3.64,0.00,10.25
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,35-39 years,Years Lived with Disability (YLDs),Rate,0.00,0.00,0.00
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,35-39 years,Years of Life Lost (YLLs),Rate,3.64,0.00,10.25
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,40-44 years,Deaths,Rate,0.14,0.01,0.52
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,40-44 years,Disability-Adjusted Life Years (DALYs),Rate,9.61,1.55,31.45
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,40-44 years,Years Lived with Disability (YLDs),Rate,2.58,0.89,5.20
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,40-44 years,Years of Life Lost (YLLs),Rate,7.03,0.66,26.24
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,45-49 years,Deaths,Rate,0.08,0.01,0.27
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,45-49 years,Disability-Adjusted Life Years (DALYs),Rate,21.28,6.24,49.59
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,45-49 years,Years Lived with Disability (YLDs),Rate,17.66,5.76,37.12
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,45-49 years,Years of Life Lost (YLLs),Rate,3.62,0.48,12.46
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,50-54 years,Deaths,Rate,0.47,0.07,1.62
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,50-54 years,Disability-Adjusted Life Years (DALYs),Rate,60.96,23.31,139.52
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,50-54 years,Years Lived with Disability (YLDs),Rate,41.75,20.30,73.79
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,50-54 years,Years of Life Lost (YLLs),Rate,19.20,3.01,65.73
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,50-64 years,Deaths,Rate,1.16,0.22,3.62
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,50-64 years,Disability-Adjusted Life Years (DALYs),Rate,121.60,54.57,251.69
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,50-64 years,Years Lived with Disability (YLDs),Rate,83.16,47.38,130.66
ARG,Argentina,Southern Cone,Alzheimer disease and other dementias,2020,Male,50-64 years,Years of Life Lost (YLLs),Rate,38.44,7.19,121.04
